pkt_len_max,pkt_len_std,pkt_len_p50,pkt_len_p75,payload_median,iat_std,iat_p75_minus_p50,iat_p95_minus_p50,iat_cov_std_mean,iat_median,granularity,label
40934,11009.82498,551.0,9909.0,497.0,0.11638,0.00097,0.01641,6.05251,0.00046,150,Netflix
59914,12459.40593,1146.0,17209.0,1092.0,0.22951,0.00236,0.03413,5.91479,0.0007,150,Netflix
58454,10522.16152,987.0,13194.0,933.0,0.48917,0.00167,0.01425,10.86134,0.00053,150,Netflix
43854,11406.17013,832.5,13194.0,778.5,0.20385,0.00097,0.02153,8.81688,0.00042,150,Netflix
64294,12864.0073,1149.5,16114.0,1095.5,0.28031,0.0009,0.00392,10.97156,0.00032,150,Netflix
45314,9485.22024,372.5,13194.0,318.5,0.16988,0.00092,0.01273,8.44265,0.00032,150,Netflix
58454,11797.68376,1113.0,14654.0,1059.0,0.00427,0.00137,0.00464,2.78179,0.00025,150,Netflix
24874,6243.63686,1328.0,11734.0,1274.0,0.00066,0.00074,0.00191,1.10082,0.0002,150,Netflix
64294,15362.57812,308.5,16114.0,254.5,0.07862,0.00193,0.00966,8.93479,0.00018,150,Netflix
58454,10583.25035,1333.5,14289.0,1279.5,0.01501,0.00086,0.00506,4.39117,0.00036,150,Netflix
64294,10723.83864,998.5,13194.0,944.5,0.08898,0.00074,0.00265,10.45276,0.00026,150,Netflix
64294,14667.66342,1514.0,11734.0,1460.0,0.00211,0.00102,0.00431,1.98114,0.00022,150,Netflix
64294,18104.59656,1148.0,24509.0,1094.0,0.22541,0.00228,0.01445,6.68704,0.00037,150,Netflix
64294,16340.2656,546.0,17574.0,492.0,0.49302,0.00683,0.6294,3.79442,0.00114,150,Netflix
64294,18778.4509,1159.0,20494.0,1105.0,0.33034,0.00188,0.0139,8.20715,0.00027,150,Netflix
64294,16383.74512,1155.0,20494.0,1101.0,0.00249,0.00173,0.00605,1.69364,0.00018,150,Netflix
64294,19177.57414,252.0,27794.0,198.0,0.00412,0.0012,0.00826,2.20666,0.00028,150,Netflix
64294,21187.99431,1339.5,27794.0,1285.5,0.30705,0.00092,0.01499,8.24787,0.00026,150,Netflix
64294,15195.32162,498.0,21589.0,444.0,1.54185,0.00119,0.00517,8.56181,0.00036,150,Netflix
64294,16776.81972,1339.5,26334.0,1285.5,0.32256,0.00101,0.01461,8.50134,0.0003,150,Netflix
64294,17938.74851,3704.0,26334.0,3650.0,0.30795,0.00122,0.01542,11.03194,0.00048,150,Netflix
64294,16082.85291,985.5,24874.0,931.5,0.13522,0.00111,0.0032,11.13886,0.00025,150,Netflix
64294,19915.55383,1161.0,25969.0,1107.0,0.40228,0.00185,0.01775,6.93204,0.00028,150,Netflix
64294,17470.19162,1191.5,20494.0,1137.5,0.00298,0.00107,0.00606,2.0167,0.00025,150,Netflix
51154,8465.10125,1514.0,13194.0,1460.0,0.00087,0.0008,0.0024,1.44054,0.00013,150,Netflix
64294,15550.56248,1151.5,17574.0,1097.5,0.34327,0.00077,0.01318,8.032,0.0003,150,Netflix
49694,5455.82333,1514.0,1514.0,1460.0,0.0014,0.0016,0.00366,1.65977,0.00014,150,Netflix
64294,11141.46669,1514.0,11734.0,1460.0,0.00323,0.00102,0.00697,2.10868,0.00026,150,Netflix
43854,8860.96268,1514.0,14289.0,1460.0,0.00233,0.00101,0.00511,1.8162,0.00023,150,Netflix
29254,6488.09192,982.0,8814.0,928.0,0.00181,0.0016,0.00513,1.55475,0.00014,150,Netflix
64294,10235.86229,1514.0,7354.0,1460.0,0.00372,0.00091,0.01274,2.10157,0.00026,150,Netflix
26334,4149.27155,90.0,4434.0,0.0,0.00361,0.0008,0.01055,2.22792,0.0002,150,Netflix
27794,4344.39442,1514.0,4434.0,1460.0,0.00493,0.00236,0.01503,1.92026,0.0002,150,Netflix
11734,3023.84932,1514.0,2974.0,1460.0,0.0049,0.00171,0.01656,1.97041,0.0003,150,Netflix
16114,3373.12075,1514.0,2974.0,1460.0,0.06906,0.00339,0.02515,6.91639,0.00035,150,Netflix
33634,4829.53165,1161.0,7354.0,1107.0,0.33769,0.00329,0.02565,7.80144,0.00033,150,Netflix
