fwd_pkt_count,fwd_pkt_len_mean,fwd_pkt_len_std,fwd_pkt_len_p50,fwd_pkt_len_p75,fwd_pkt_len_max,fwd_payload_median,fwd_iat_mean,fwd_iat_std,fwd_iat_median,fwd_iat_cov,bwd_pkt_count,bwd_pkt_len_mean,bwd_pkt_len_std,bwd_pkt_len_p50,bwd_pkt_len_p75,bwd_pkt_len_max,bwd_payload_median,bwd_iat_mean,bwd_iat_std,bwd_iat_median,bwd_iat_cov,bytes_ratio_fwd,pkt_ratio_fwd,tcp_syn_ratio,tcp_ack_ratio,tcp_fin_ratio,tcp_rst_ratio,tcp_psh_ratio,tcp_urg_ratio,tcp_retrans_ratio,burst_count,mean_burst_gap,actual_packets_in_flow,agg_mode,agg_value,label
5,72.4,1.74356,71.0,74.0,75.0,29.0,1.59268,2.48073,0.22592,1.55758,5.0,68.8,3.42929,66.0,73.0,73.0,24.0,1.57634,2.46461,0.23169,1.5635,0.51275,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.08618,10,packet,10,Netflix
5,66.0,0.0,66.0,66.0,66.0,24.0,0.2536,0.01732,0.24404,0.06829,5.0,71.0,0.0,71.0,71.0,71.0,29.0,0.24369,0.00283,0.24414,0.0116,0.48175,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.21458,10,packet,10,Netflix
5,71.0,0.0,71.0,71.0,71.0,29.0,0.23456,0.01511,0.24066,0.0644,5.0,67.8,0.4,68.0,68.0,68.0,26.0,0.2429,0.00468,0.2416,0.01925,0.51153,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.20495,10,packet,10,Netflix
2,6941.0,4365.0,6941.0,9123.5,11306.0,6887.0,0.00015,0.0,0.00015,0.0,8.0,58.0,0.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.96766,0.2,0.0,1.0,0.0,0.0,0.2,0.0,0.7,1,0.0,10,packet,10,Netflix
4,560.5,719.88489,195.5,672.75,1797.0,141.5,0.0283,0.03989,0.00013,1.40939,6.0,625.66667,1064.13168,77.5,403.0,2978.0,19.5,0.01023,0.01971,0.0,1.92635,0.37392,0.4,0.0,1.0,0.0,0.0,0.6,0.0,0.3,1,0.0,10,packet,10,Netflix
5,54.0,0.0,54.0,54.0,54.0,0.0,0.00064,0.00058,0.00056,0.90298,5.0,4298.4,2074.55456,5898.0,5898.0,5898.0,5840.0,0.00056,0.00057,0.0005,1.01058,0.01241,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.4,1,0.0,10,packet,10,Netflix
5,61.0,14.0,54.0,54.0,89.0,0.0,0.001,0.00023,0.00097,0.22841,5.0,5248.8,4251.6334,2978.0,5898.0,13198.0,2920.0,0.0017,0.00154,0.00131,0.90524,0.01149,0.5,0.0,1.0,0.0,0.0,0.6,0.0,0.3,1,0.0,10,packet,10,Netflix
5,71.6,1.2,71.0,71.0,74.0,29.0,0.37965,0.288,0.30881,0.7586,5.0,352.4,570.8007,68.0,68.0,1494.0,26.0,0.37985,0.30669,0.34069,0.80739,0.16887,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.46282,10,packet,10,Netflix
7,1004.14286,954.58599,708.0,1383.5,2974.0,654.0,0.00393,0.00745,0.0,1.89331,3.0,387.0,426.47939,118.0,553.5,989.0,64.0,0.0023,0.00135,0.0023,0.58654,0.85824,0.7,0.0,1.0,0.0,0.0,0.5,0.0,0.3,1,0.0,10,packet,10,Netflix
6,676.0,555.68816,590.0,1117.5,1514.0,536.0,0.00472,0.00787,0.00096,1.66775,4.0,303.75,396.49109,86.0,335.75,989.0,32.0,0.00682,0.00649,0.0041,0.95145,0.76949,0.6,0.0,1.0,0.0,0.0,0.5,0.0,0.3,1,0.0,10,packet,10,Netflix
4,5951.5,5084.92977,5763.0,10639.0,11734.0,5709.0,0.02298,0.03113,0.00194,1.35501,6.0,234.66667,403.98295,54.0,54.0,1138.0,0.0,0.01376,0.01996,0.00163,1.45037,0.94416,0.4,0.0,1.0,0.0,0.0,0.3,0.0,0.4,1,0.0,10,packet,10,Netflix
6,6175.66667,7801.17567,1514.0,8084.0,21954.0,1460.0,0.01391,0.02186,0.0,1.57116,4.0,325.0,469.38577,54.0,325.0,1138.0,0.0,0.01884,0.01558,0.018,0.82692,0.96611,0.6,0.0,1.0,0.0,0.0,0.3,0.0,0.2,1,0.0,10,packet,10,Netflix
5,15822.0,6012.648,14654.0,20494.0,23414.0,14600.0,0.00386,0.00327,0.0031,0.84703,5.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00377,0.00318,0.00308,0.84237,0.9966,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.4,1,0.0,10,packet,10,Netflix
5,12318.0,4579.84105,13194.0,14654.0,19034.0,13140.0,0.00317,0.00302,0.00214,0.94996,5.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00316,0.00301,0.00214,0.9532,0.99564,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.4,1,0.0,10,packet,10,Netflix
5,54.0,0.0,54.0,54.0,54.0,0.0,0.00906,0.00749,0.00811,0.82656,5.0,24290.0,19316.19176,16114.0,33634.0,56994.0,16060.0,0.00832,0.00761,0.00702,0.91497,0.00222,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.4,1,0.0,10,packet,10,Netflix
5,17574.0,14831.76052,13194.0,19034.0,45314.0,13140.0,0.00359,0.00245,0.00248,0.68059,5.0,54.0,0.0,54.0,54.0,54.0,0.0,0.0036,0.00247,0.00253,0.68654,0.99694,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.4,1,0.0,10,packet,10,Netflix
5,29254.0,18968.76591,16114.0,45314.0,58454.0,16060.0,0.00419,0.00147,0.00369,0.35197,5.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00416,0.00135,0.00372,0.32553,0.99816,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.4,1,0.0,10,packet,10,Netflix
6,17574.0,13327.91557,14654.0,15749.0,45314.0,14600.0,0.00329,0.00232,0.00239,0.70627,4.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00256,0.00228,0.00112,0.89098,0.99796,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.3,1,0.0,10,packet,10,Netflix
5,272.4,436.8,54.0,54.0,1146.0,0.0,0.03423,0.03335,0.0264,0.97417,5.0,9556.4,11502.59843,1514.0,16114.0,29254.0,1460.0,0.03784,0.06329,0.00196,1.67267,0.02771,0.5,0.0,1.0,0.0,0.0,0.3,0.0,0.4,1,0.0,10,packet,10,Netflix
5,14678.2,11606.97253,19034.0,26334.0,26334.0,18980.0,0.04426,0.07295,0.00324,1.64827,5.0,272.8,437.6,54.0,54.0,1148.0,0.0,0.04017,0.06583,0.00323,1.63865,0.98175,0.5,0.0,1.0,0.0,0.0,0.3,0.0,0.4,2,0.15412,10,packet,10,Netflix
5,28378.0,12166.27733,26334.0,40934.0,43854.0,26280.0,0.004,0.00246,0.00362,0.6143,5.0,54.0,0.0,54.0,54.0,54.0,0.0,0.004,0.00248,0.0036,0.62013,0.9981,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.4,1,0.0,10,packet,10,Netflix
5,17574.0,14334.79124,17574.0,26334.0,39474.0,17520.0,0.00356,0.00241,0.00336,0.67664,5.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00356,0.00245,0.00342,0.68775,0.99694,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.4,1,0.0,10,packet,10,Netflix
6,16676.66667,13491.31605,15384.0,24509.0,39474.0,15330.0,0.00309,0.00197,0.0036,0.63919,4.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00401,0.00155,0.00416,0.38639,0.99785,0.6,0.0,1.0,0.0,0.0,0.1,0.0,0.3,1,0.0,10,packet,10,Netflix
6,2278.66667,3135.09105,656.0,2759.75,8791.0,602.0,0.36855,0.57442,0.08721,1.55858,4.0,96.0,21.9545,108.0,108.5,110.0,50.0,0.52934,0.72942,0.02226,1.37797,0.97268,0.6,0.0,1.0,0.0,0.0,0.7,0.0,0.3,3,0.84231,10,packet,10,Netflix
4,303.0,311.63039,170.5,419.5,817.0,116.5,0.03216,0.02192,0.04422,0.68177,6.0,82.0,24.06242,80.5,105.25,109.0,22.5,0.00456,0.00442,0.00309,0.97018,0.71127,0.4,0.0,1.0,0.0,0.0,0.5,0.0,0.4,1,0.0,10,packet,10,Netflix
6,62.0,5.65685,66.0,66.0,66.0,0.0,0.13001,0.11103,0.05935,0.85401,4.0,510.0,0.0,510.0,510.0,510.0,456.0,0.1816,0.11751,0.23014,0.64709,0.15423,0.6,0.0,1.0,0.0,0.0,0.4,0.0,0.8,3,0.26222,10,packet,10,Netflix
7,629.42857,604.82414,598.0,1058.0,1518.0,540.0,0.33478,0.74459,0.0,2.22414,3.0,4101.33333,4073.34264,2575.0,6125.0,9675.0,2521.0,0.97802,0.97762,0.97802,0.99959,0.26367,0.7,0.0,1.0,0.0,0.0,0.4,0.0,0.4,2,1.95564,10,packet,10,Netflix
9,1019.22222,828.58591,927.0,1514.0,2674.0,873.0,0.34523,0.49969,0.15269,1.44741,1.0,58.0,0.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.99372,0.9,0.0,1.0,0.0,0.0,0.7,0.0,0.4,6,0.53576,10,packet,10,Netflix
5,66.0,0.0,66.0,66.0,66.0,24.0,0.79968,0.53432,0.65251,0.66816,5.0,71.0,0.0,71.0,71.0,71.0,29.0,1.54783,1.06832,1.2497,0.69021,0.48175,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.24822,10,packet,10,Netflix
